645|30
892|9
69|11
809|17
629|12
365|31
138|13
760|27
101|29
479|14
347|3
846|20
909|12
333|33
628|23
249|23
893|7
518|26
962|16
468|23
234|9
941|24
0|20
777|9
555|18
666|8
88|4
481|25
352|22
408|7
977|1
170|24
523|12
582|11
762|11
115|9
683|16
730|22
217|18
276|25
994|32
308|10
741|15
5|32
873|13
449|13
120|18
247|46
379|17
878|3
440|13
655|11
511|36
614|19
269|29
677|16
202|12
597|9
861|40
10|27
385|30
384|12
56|25
533|11
550|24
142|17
500|35
797|27
715|28
472|0
814|15
698|17
747|19
913|6
945|11
340|14
538|14
153|32
930|18
670|23
829|7
174|8
404|18
898|37
185|7
42|10
782|7
709|9
417|7
24|19
973|21
885|21
288|12
301|24
320|45
565|17
436|14
37|31
25|9
651|3
