645|39
69|23
809|33
629|17
365|9
138|23
760|6
479|29
347|35
846|16
909|27
333|3
628|11
893|23
518|20
962|26
468|4
234|25
941|15
0|6
777|4
555|7
666|50
88|7
481|11
352|11
408|17
977|25
170|11
523|18
582|46
762|20
115|60
683|19
730|4
217|19
276|10
994|14
308|31
741|0
5|2
873|24
449|9
120|21
247|7
379|29
878|11
440|24
655|32
511|29
614|38
269|28
677|34
202|11
597|13
861|12
10|7
385|25
384|25
56|32
533|18
550|7
142|15
500|9
797|9
715|5
472|34
814|34
698|22
747|10
945|7
340|10
538|6
153|13
930|1
670|26
829|1
174|4
404|12
898|18
185|8
42|5
782|10
709|15
841|11
417|23
24|2
973|17
885|17
288|26
301|14
320|8
565|9
436|17
37|24
25|6
651|30
257|50
389|22
52|28
