886|50
110|49
375|49
574|46
411|46
121|45
276|44
556|43
33|43
952|42
884|42
838|42
538|41
98|41
29|40
546|40
71|40
269|40
833|40
90|39
30|39
217|39
89|39
818|39
261|38
50|38
785|38
728|38
168|37
917|37
428|37
250|37
302|37
423|37
253|37
614|36
345|36
926|36
933|36
19|36
573|36
156|36
463|36
834|36
430|35
978|35
301|35
898|35
522|35
744|34
436|34
284|34
208|34
854|34
22|34
825|34
620|34
96|34
581|33
861|33
529|33
998|33
18|33
777|33
366|33
323|33
146|33
355|33
400|33
255|33
129|33
710|33
957|32
990|32
227|32
991|32
880|32
344|32
140|32
416|32
445|32
387|32
799|32
908|32
876|32
569|31
443|31
166|31
612|31
316|31
313|31
600|31
468|31
956|31
796|31
263|31
53|31
116|31
823|31
755|31
